Season,Conference,Conference Record,Conference Ranking,Conference Ranking.1,Conference Tournament Results,Regular Season Record,Final Ranking,Post Season Results
2007,SEC,9-2-0,1,1,Orange Beach W 4-0 v. Kentucky  W 1-0 (2OT) v. LSU  W 4-1 v. Georgia,17-5-3,17,Gainesville  W 3-0 v. Miami  T 0-0 v. UCF (4-3 Florida PKs)  Los Angeles  L 0-1 Southern California
2008,SEC,11-0-0,1,1,Orange Beach  W 2-1 v. Alabama  L 0-3 v. Georgia,19-4-1,10,Gainesville W 2-1 v. California  W 2-0 v. UCF L 1-2 v. Texas A&M
2009,SEC,8-1-2,1,1,Orange Beach  W 1-0 (2OT) v. Tennessee  L 0-1 v. South Carolina,16-6-2,15,Columbus W 2-0 v. Illinois State L 0-1 (OT) v. Oregon State
2010,SEC,9-1-1,1,1,Orange Beach  W 5-3 v. Vanderbilt  W 3-1 v. Georgia  W 1-0 v. South Carolina,19-2-3,12,Gainesville W 3-0 v. Mercer  T 0-0 v. Duke (4-2 Duke PKs)
2011,SEC,7-4-0,T2,T3,Orange Beach W 2-0 v. Georgia  W 2-1 v. Alabama  L 2-3 v. Auburn,17-8-0,RV,Gainesville W 3-0 v. FGCU L 2-3 v. UCF
2012,SEC,11-2-0,1,1,Orange Beach W 2-1 v. Mississippi  W 3-0 v. Missouri  W 3-0 v. Auburn,19-5-1,,Gainesville W 2-0 v. FGCU W 1-0 v. UCF L 0-2 v. Notre Dame
2013,-SEC,9-2-0,,1,Orange Beach W 1-0 v. Arkansas  W 2-1 v. Mississippi  L 1-2 v. Texas A&M,15-3-1,,Gainesville W 2-0 v. Jacksonville Durham L 0-1 v. Duke
2014,SEC,9-2-0,,2,Orange Beach T 1-1 v. Tennessee (Tennessee 5-4 PKs),17-4-2,,Gainesville W 3-0 v. Mercer W 3-1 v. UC Berkeley W 3-2 v. Texas Tech  Palo Alto T 2-2 v. Stanford (Stanford 4-3 PKs)
2015,SEC,8-2-1,,1,Orange Beach W 2-1 v. Vanderbilt W 2-0 v. Auburn W 2-1 v. Texas A&M,19-4-1,6,Gainesville W 1-0 v. Western Michigan W 5-2 v. William & Mary L 1-2 v. Duke
2016,SEC,8-3-0,,T3,Orange Beach T 3-3 v. Missouri (8-7 Florida PKs) W 1-0 v. South Carolina W 2-1 (OT) v. Arkansas,17-5-1,10,Gainesville W 3-0 v. Florida Gulf Coast W 3-2 (2OT) v. Wisconsin L 1-2 v. Auburn
2017,SEC,7-3-0,,3,Orange Beach W 1-0 v. Auburn L 1-2 (OT) v. Texas A&M,17-7-0,,Gainesville W 3-0 v. South Alabama W 1-0 v. USF W 1-0 (2OT) v. Washington State Columbia L 0-2 v. South Carolina
2018,SEC,4-4-2,,8,Orange Beach T 1-1 v. Auburn (Florida 2-1 PKs) W 1-0 v. Vanderbilt L 0-1 (OT) v. Arkansas,7-10-4,NR,Did not qualify
Total,Total,188-39-15,,,44-8-5,414-120-36,,35-18-4
,,,,,,,,
,,,,,,,,
